Seq1,Seq2,Accuracy,Family
AGC_AKT1,CMGC_DYRK2,52.066115702479344,CMGC
AGC_AKT1,CMGC_CDK8,49.55357142857143,CMGC
AGC_AKT1,CMGC_CLK2,49.361702127659576,CMGC
AGC_AKT1,CMGC_CLK1,49.14529914529914,CMGC
AGC_AKT1,CMGC_CLK4,44.01709401709402,CMGC
AGC_AKT1,CMGC_SRPK1,33.92857142857143,CMGC
AGC_AKT1,CMGC_SRPK2,29.72972972972973,CMGC
AGC_AKT1,CMGC_MAPK3,14.345991561181432,CMGC
AGC_AKT1,CMGC_CDKL1,7.659574468085106,CMGC
AGC_AKT1,CMGC_CLK3,0.0,CMGC
AGC_AKT1,NEK_NEK1,80.17241379310344,NEK
AGC_AKT1,NEK_NEK7,79.74137931034483,NEK
AGC_AKT1,NEK_NEK2,74.02597402597402,NEK
AGC_AKT1,OTHER_WNK1,83.63636363636363,OTHER
AGC_AKT1,OTHER_WNK3,83.4061135371179,OTHER
AGC_AKT1,OTHER_TLK2,75.80645161290323,OTHER
AGC_AKT1,OTHER_TTK,71.42857142857143,OTHER
AGC_AKT1,OTHER_GAK,67.51269035532995,OTHER
AGC_AKT1,OTHER_WEE2,61.76470588235294,OTHER
AGC_AKT1,OTHER_WEE1,59.7457627118644,OTHER
AGC_AKT1,OTHER_TBK1,58.82352941176471,OTHER
AGC_AKT1,OTHER_BMP2K,56.38766519823789,OTHER
AGC_AKT1,OTHER_AAK1,54.62555066079295,OTHER
AGC_AKT1,OTHER_STK16,52.991452991452995,OTHER
AGC_AKT1,OTHER_MLKL,46.08695652173913,OTHER
AGC_AKT1,OTHER_ERN1,45.414847161572055,OTHER
AGC_AKT1,OTHER_BUB1,43.78109452736319,OTHER
AGC_AKT1,OTHER_CDC7,38.864628820960704,OTHER
AGC_AKT1,OTHER_PRAG1,28.64864864864865,OTHER
AGC_AKT1,OTHER_PEAK1,0.0,OTHER
AGC_AKT1,STE_PAK3,91.869918699187,STE
AGC_AKT1,STE_PAK1,91.49797570850204,STE
